t_j^start,t_j^end,e^j
328,437,17.45
345,450,17.45
362,470,18.32
380,483,18.32
385,503,18.32
391,506,18.32
396,516,18.32
398,521,18.32
405,530,18.32
409,544,18.32
416,554,18.32
419,550,18.32
426,564,19.65
431,562,19.65
437,575,19.65
440,573,19.65
450,589,19.65
451,594,19.65
455,599,19.65
461,592,19.65
466,611,19.65
469,616,19.65
474,617,19.65
480,630,19.97
484,634,19.97
488,627,19.97
494,631,19.97
498,638,19.97
502,652,19.97
507,648,19.97
513,664,19.97
517,670,19.97
520,661,19.97
527,668,19.97
531,683,19.97
535,688,19.97
540,674,19.35
546,697,19.35
549,700,19.35
553,668,19.35
560,707,19.35
565,711,19.35
571,720,19.35
578,727,19.35
585,735,19.35
592,742,19.35
599,750,19.35
606,747,19.59
613,761,19.59
620,768,19.59
630,776,19.59
635,783,19.59
642,790,19.59
649,798,19.59
656,805,19.59
664,814,20.38
671,821,20.38
678,828,20.38
685,835,20.38
692,844,20.38
700,851,20.38
707,858,20.38
714,865,20.38
721,876,21.59
728,881,21.59
736,887,21.59
743,894,21.59
750,901,21.59
757,906,21.59
764,912,21.59
772,919,21.59
779,926,21.59
786,931,22.42
793,938,22.42
800,945,22.42
810,951,22.42
814,959,22.42
821,966,22.42
828,973,22.42
834,979,22.42
841,986,22.7
848,991,22.7
854,998,22.7
861,1005,22.7
868,1012,22.7
874,1019,22.7
881,1029,22.7
888,1036,22.7
895,1043,22.7
901,1050,22.77
908,1057,22.77
915,1064,22.77
922,1071,22.77
928,1077,22.77
935,1086,22.77
942,1093,22.77
949,1100,22.77
956,1107,22.77
963,1114,23.4
970,1120,23.4
977,1127,23.4
984,1134,23.4
990,1141,23.4
997,1151,23.4
1004,1158,23.4
1011,1165,23.4
1018,1172,23.4
1025,1187,22.18
1032,1178,22.18
1039,1197,22.18
1042,1201,22.18
1046,1186,22.18
1052,1213,22.18
1056,1195,22.18
1063,1224,22.18
1066,1203,22.18
1073,1236,22.18
1077,1240,22.18
1083,1250,22.37
1087,1254,22.37
1091,1230,22.37
1097,1263,22.37
1101,1267,22.37
1105,1271,22.37
1110,1256,22.37
1115,1264,22.37
1121,1273,22.37
1128,1289,22.37
1135,1282,22.37
1142,1290,19.46
1148,1306,19.46
1153,1305,19.46
1158,1309,19.46
1163,1316,19.46
1173,1321,19.46
1178,1326,19.46
1183,1333,19.46
1190,1335,19.46
1198,1338,19.46
1204,1343,18.27
1213,1350,18.27
1218,1354,18.27
1223,1356,18.27
1231,1356,18.27
1238,1366,18.27
1245,1372,18.27
1248,1376,18.27
1255,1380,18.27
1259,1383,18.27
1263,1387,18.45
1265,1390,18.45
1268,1394,18.45
1273,1397,18.45
1274,1398,18.45
1275,1400,18.45
1278,1404,18.45
1284,1408,18.45
1287,1410,18.45
1290,1412,18.45
1294,1415,18.45
1297,1418,18.45
1300,1422,18.45
1306,1425,18.45
1309,1429,18.45
1312,1432,18.45
1318,1436,18.45
1321,1437,17.32
1324,1440,17.32
1327,1444,17.32
1330,1447,17.32
1333,1451,17.32
1336,1454,17.32
1339,1457,17.32
1343,1461,17.32
1346,1464,17.32
1350,1466,17.32
1353,1470,17.32
1359,1473,17.32
1364,1476,17.32
1367,1480,17.32
1370,1483,17.32
1373,1487,17.32
1376,1491,17.32
1381,1493,16.31
1384,1500,16.31
1387,1509,16.31
1393,1502,16.31
1398,1518,16.31
1404,1511,16.31
1409,1524,16.31
1415,1519,16.31
1421,1533,16.31
1426,1532,16.31
1433,1542,16.31
1440,1536,15.19
1449,1542,15.19
1460,1553,15.19
1471,1563,15.19
1482,1572,15.19
1493,1583,15.19